name,price,status,shipping,free_returns,items_sold
"VTG Senders Ready Set Go/Open Road (TX Rockabilly) 7"" RECORD NR MINT VINYL 1985",6498,Pre-Owned,495,False,
"New ListingVTG Super Deluxe Electric Holiday EP 7"" RECORD Red/Green COLOR VINYL 1995",3499,Pre-Owned,495,False,
New Listing*** COLLECTABLE Bulk Lot Of 25 Mystery Vinyl Records VINTAGE RARE UNIQUE * B44,2495,Pre-Owned,1722,False,
"You pick - 60's, 70's & 80's Rock Records Vinyl LP - Multiple Titles",500,Pre-Owned,500,False,
vintage vinyl record,6000,Brand New,447,False,
Lot Of 50 Random Country Music 45s From Downsized Record Store 60s - 80s,1495,Pre-Owned,597,False,
vintage vinyl record,6000,Brand New,447,False,
Vinatge readers w records,1800,Pre-Owned,522,False,
Vintage Vinyl 30 Greatest Hits World's Greatest Operettas RCA Red Seal Double LP,1176,Pre-Owned,1448,True,
"New ListingVintage 1975Bad Company Straight Shooter Vinyl Swan Song ""Feel Like Makin Love""",1998,Pre-Owned,0,False,
New ListingVintage Vinyl Record Album Songs of Our Times 1925 Basil Fomeen & His Orchestra,2495,Brand New,0,False,
New ListingVintage 1979 Charlie - Fight Dirty Vinyl Record DJ copy clean vinyl fast shippin,400,Pre-Owned,447,False,
New ListingVintage Vinyl Record America Self Titled LP 1971 EX,1225,Pre-Owned,595,False,
New ListingCOLLECTABLE Bulk Lot Of 25 Mystery Vinyl Records VINTAGE RARE UNIQUE * C50,3250,Pre-Owned,1722,False,
"New ListingCOLLECTION OF 48 VINYL  ""45 "" RECORDS - MOSTLY THE 60'S-3 BEATLES ALSO INCLUDED",3767,Pre-Owned,0,False,
New Listing10 Vintage LPs Hendrix/Doors/Tangerine Dream/Stills/Neil Young/Thorogood/Focus,5888,Pre-Owned,1399,False,
New ListingCOLLECTABLE Bulk Lot Of 25 Mystery Vinyl Records VINTAGE RARE UNIQUE * D60,3750,Pre-Owned,1722,False,
New ListingThe Lettermen The Best Of The Lettermen Vol. 2 Vintage Sealed Vinyl LP (New),2000,Brand New,0,False,
New ListingComplete Vintage 1984 Gremlins Read Along Vinyl 45s Record Book Set 1 - 5 Gizmo,4499,Pre-Owned,628,False,
"1970’s Vintage Vinyl Record Album 7""  Holds 12 Vynil Records",988,Pre-Owned,1181,False,
New ListingCapitol Records BOZO Under The Sea Record And Read Along Story Book. Vintage,4000,Pre-Owned,1000,False,
"New ListingLot Of 49 Vintage vinyl 12"" Vinyl Records Lot",4500,Pre-Owned,0,False,
New ListingFLEETWOOD MAC Vintage Years SIRE 2XLP VG+/VG++ gatefold r,800,Pre-Owned,0,True,
New ListingVintage Vinyl Record Album Songs of Our Times 1931 Ray Benson and His Orchestra,2495,Brand New,0,False,
New ListingAerosmith Rocks Vintage Vinyl LP 1976 Columbia Record JC-34165,1898,Pre-Owned,0,False,
ALL $5.99 Vinyl Records No Limit You Pick & Choose Rock+ LP F-M Flat $6 Shipping,479,Pre-Owned,599,True,
New ListingLOT of 56 Early Mixed Label Vintage 45 RPM Records 50s & 60s,10000,Pre-Owned,0,False,
