name,price,status,shipping,free_returns,items_sold
adidas women Kaptir Flow 2.0 Shoes,4500,US W 7.5 + more,9000,True,
Air Jordan 1 x Union x Fragment Black and Varsity Red IO7847-002 Men Size,26500,US M 13 + more,1495,False,
adidas men Barreda Decode Shoes,4700,US M 8 + more,0,True,
Size 9.5 - Nike React Element 55 Safari Pack - Bio Beige,3000,Nike React,2200,False,
Size 10.5 - Nike Sabrina 2   Ionescu,13000,US W 10.5,1495,False,
Size 9.5 - Nike React Element 55 Safari Pack - Bio Beige,3000,Nike React,2200,False,
Size 10.5 - Nike Sabrina 2   Ionescu,13000,US W 10.5,1495,False,
Kizik Men’s Athens Lapis Blue Size 11,7298,Kizik,1499,False,
Kizik Men’s Athens Grey Size 11.5,6998,Kizik,1000,False,
ASICS Gel 1130 Black Pure Silver 1201A906-001 Men Size,9500,US M 9 + more,1495,False,
Air Jordan 4 “Black Cat” FV5029-010,22999,US M 13 + more,1495,False,
Nike Air Jordan 14 Retro Black University Blue 2026 Men & GS Size,17997,US M 8.5 + more,1495,False,
PUMA Rocket Fuel Lite Running  Mens Black Sneakers Athletic Shoes 31067704,2995,US M 8.5 + more,6500,True,
Adidas Vario Pure White Black W,,,,False,
Adidas Racer TR23 Solid Grey Blue Burst,,,,False,
Adidas Grand Court Alpha Shadow Navy White W,,,,False,
Adidas Daily 4.0 Clay Black,,,,False,
Adidas Run 60s 2.0 Crew Navy,,,,False,
Adidas Run 60s 2.0 Grey Carbon,,,,False,
Adidas Grand Court 2.0 White Black,,,,False,
adidas Japan Bright Royal,,,,False,
Adidas Lite Racer Adapt 7.0 Black Grey,,,,False,
Nike Court Vision Next Nature Low Triple White,,,,False,
adidas VL Court 3.0 Core White Bright Royal Dark Blue Gum,,,,False,
Nike Court Vision Next Nature Low Triple Black,,,,False,
Nike Court Vision Low Black White,,,,False,
Adidas Lite Racer Adapt 4.0 Black White,,,,False,
Puma Reflect Lite Trail PURE-TEX Black Cool Dark Grey,,,,False,
